manufacturer,device,patchset,displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,mode,skip,comment
GEM,rp-x,Factory presets,P33,Big Orchestral Strings,0,,33,,,Strings,,,33,Layer,,
GEM,rp-x,Factory presets,P34,Mozart Ensemble,0,,34,,,,,,34,Layer,,
GEM,rp-x,Factory presets,P35,Pop Stack 01,0,,35,,,,,,35,Multi,,
GEM,rp-x,Factory presets,P36,Pop Stack 02,0,,36,,,,,,36,Multi,,
GEM,rp-x,Factory presets,P37,Percussive Synt 01,0,,37,,,,,,37,Layer,,
GEM,rp-x,Factory presets,P38,Percussive Synt 02,0,,38,,,,,,38,Layer,,
GEM,rp-x,Factory presets,P39,Percussive Synt 03,0,,39,,,,,,39,Multi,,
GEM,rp-x,Factory presets,P40,CP Grand Stack 01,0,,40,,,,,,40,Layer,,
GEM,rp-x,Factory presets,P41,CP Grand Stack 02,0,,41,,,,,,41,Layer,,
GEM,rp-x,Factory presets,P42,RD Stack 01,0,,42,,,,,,42,Layer,,
GEM,rp-x,Factory presets,P43,RD Stack 02,0,,43,,,,,,43,Layer,,
GEM,rp-x,Factory presets,P44,Classic Stack 01,0,,44,,,,,,44,Layer,,
GEM,rp-x,Factory presets,P45,Classic Stack 02,0,,45,,,,,,45,Layer,,
GEM,rp-x,Factory presets,P46,Notturno,0,,46,,,,,,46,Multi,,
GEM,rp-x,Factory presets,P47,Barock Ensemble,0,,47,,,,,,47,Layer,,
GEM,rp-x,Factory presets,P48,Flap Pad 01,0,,48,,,,,,48,Multi,,
GEM,rp-x,Factory presets,P49,Flap Pad 02,0,,49,,,,,,49,Multi,,
GEM,rp-x,Factory presets,P50,Synth 01,0,,50,,,,,,50,Layer,,
GEM,rp-x,Factory presets,P51,Sympho Strings&Choir,0,,51,,,,,,51,Multi,,
GEM,rp-x,Factory presets,P52,Synth 02,0,,52,,,,,,52,Layer,,
GEM,rp-x,Factory presets,P53,Rhodes&Synth 01,0,,53,,,,,,53,Layer,,
GEM,rp-x,Factory presets,P54,FM&Synth,0,,54,,,,,,54,Layer,,
GEM,rp-x,Factory presets,P55,Flat Rhodes&Pad,0,,55,,,,,,55,Layer,,
GEM,rp-x,Factory presets,P56,Clavisynth 01,0,,56,,,,,,56,Layer,,
GEM,rp-x,Factory presets,P57,Clavisynth 02,0,,57,,,,,,57,Layer,,
GEM,rp-x,Factory presets,P58,PianoSynString,0,,58,,,,,,58,Layer,,
GEM,rp-x,Factory presets,P59,FM& Rhodes,0,,59,,,,,,59,Layer,,
GEM,rp-x,Factory presets,P60,Chorus Thine Rhodes,0,,60,,,,,,60,Single,,
GEM,rp-x,Factory presets,P61,Tremolo Wurly,0,,61,,,,,,61,Single,,
GEM,rp-x,Factory presets,P62,Wurly Rhodes,0,,62,,,,,,62,Layer,,
GEM,rp-x,Factory presets,P63,Marimba Strings,0,,63,,,,,,63,Layer,,
GEM,rp-x,Factory presets,P64,Vibes Split,0,,64,,,,,,64,Split,,
GEM,rp-x,Factory presets,P65,Choir Split,0,,65,,,,,,65,Layer,,
GEM,rp-x,Factory presets,P66,Big Stack,0,,66,,,,,,66,Layer,,
GEM,rp-x,Factory presets,P67,Rhodes&String Compressed,0,,67,,,,,,67,Layer,,
GEM,rp-x,Factory presets,P68,Warm Strings,0,,68,,,,,,68,Layer,,
GEM,rp-x,Factory presets,P69,Clavi& Pad,0,,69,,,,,,69,Split,,
GEM,rp-x,Factory presets,P70,SynString& Phat Pad,0,,70,,,,,,70,Split,,
GEM,rp-x,Factory presets,P71,Chor& Staccato,0,,71,,,,,,71,Split,,
GEM,rp-x,Factory presets,P72,Warm Sweep Pad,0,,72,,,,,,72,Split,,
GEM,rp-x,Factory presets,P73,Syn Brass Pad,0,,73,,,,,,73,Split,,
GEM,rp-x,Factory presets,P74,Rhodes'n clavi,0,,74,,,,,,74,Split,,
GEM,rp-x,Factory presets,P75,Piano& Wurly,0,,75,,,,,,75,Split,,
GEM,rp-x,Factory presets,P76,Piano& Vibes,0,,76,,,,,,76,Split,,
GEM,rp-x,Factory presets,P77,Yellow Pad Split,0,,77,,,,,,77,Split,,Foot Control CC#004
GEM,rp-x,Factory presets,P78,Rhodes Wah Wah **,0,,78,,,,,,78,Layer,,Foot Control CC#004
GEM,rp-x,Factory presets,P79,Synth Strings Filter **,0,,79,,,,,,79,Layer,,
GEM,rp-x,Factory presets,P80,Brite Dreams,0,,80,,,,,,80,Single,,
GEM,rp-x,Factory presets,P81,Syn Brass Pad,0,,81,,,,,,81,Single,,
GEM,rp-x,Factory presets,P82,Choir Stereo,0,,82,,,,,,82,Layer,,
GEM,rp-x,Factory presets,P83,Choir& Brite Dream,0,,83,,,,,,83,Layer,,
GEM,rp-x,Factory presets,P84,Harpsi& Warm Strings,0,,84,,,,,,84,Layer,,
GEM,rp-x,Factory presets,P85,CP Grand & DX,0,,85,,,,,,85,Layer,,
GEM,rp-x,Factory presets,P86,Harpsipad,0,,86,,,,,,86,Layer,,
GEM,rp-x,Factory presets,P87,Marimba delay,0,,87,,,,,,87,Layer,,
GEM,rp-x,Factory presets,P88,Phaser Strings,0,,88,,,,,,88,Layer,,
GEM,rp-x,Factory presets,P89,Piano Reverb,0,,89,,,,,,89,Single,,
GEM,rp-x,Factory presets,P90,Double Grand,0,,90,,,,,,90,Layer,,
GEM,rp-x,Factory presets,P91,Hard Piano,0,,91,,,,,,91,Layer,,
GEM,rp-x,Factory presets,P92,Hard Piano 2,0,,92,,,,,,92,Layer,,
GEM,rp-x,Factory presets,P93,Detuned Rhodes,0,,93,,,,,,93,Layer,,
GEM,rp-x,Factory presets,P94,E-Piano Detuned mixed,0,,94,,,,,,94,Layer,,
GEM,rp-x,Factory presets,P95,Dry Wurly,0,,95,,,,,,95,Layer,,
GEM,rp-x,Factory presets,P96,Dry Rhodes,0,,96,,,,,,96,Single,,
GEM,rp-x,Factory presets,P97,Grand Real Dry,0,,97,,,,,,97,Single,,
GEM,rp-x,Factory presets,P98,Choir& Strings,0,,98,,,,,,98,Layer,,
GEM,rp-x,Factory presets,P99,Choir& Brite Dream,0,,99,,,,,,99,Layer,,
