manufacturer,device,patchset,displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,creator-short,creator,creator-proximity,original-patchname
KORG,KP3+,,dL.11,Ping Pong Delay,,,,,,Delay,,,,,,,
KORG,KP3+,,dL.12,LCR Delay,,,,,,Delay,,,,,,,
KORG,KP3+,,dL.13,3 band Delay,,,,,,Delay,,,,,,,
KORG,KP3+,,dL.14,Reverse Delay Mix,,,,,,Delay,,,,,,,
KORG,KP3+,,dL.15,3 band Reverse Delay,,,,,,Delay,,,,,,,
KORG,KP3+,,dL.16,Gate Reverb & Delay,,,,,,Delay,,,,,,,
KORG,KP3+,,dL.17,Delay & Reverb,,,,,,Delay,,,,,,,
KORG,KP3+,,rEV.1,Pump Reverb,,,,,,Reverb,,,,,,,
KORG,KP3+,,rEV.2,Freeze Reverb,,,,,,Reverb,,,,,,,
KORG,KP3+,,rEV.3,Reverb Break,,,,,,Reverb,,,,,,,
KORG,KP3+,,rEV.4,Reverb,,,,,,Reverb,,,,,,,
KORG,KP3+,,rEV.5,Reverb 2,,,,,,Reverb,,,,,,,
KORG,KP3+,,rEV.6,Spring Reverb,,,,,,Reverb,,,,,,,
KORG,KP3+,,rEV.7,Gate Reverb,,,,,,Reverb,,,,,,,
KORG,KP3+,,rEV.8,Reverse Gate Reverb,,,,,,Reverb,,,,,,,
KORG,KP3+,,Grn.1,Grain Shifter,,,,,,Grain Shifter,,,,,,,
KORG,KP3+,,Grn.2,Beat Grain,,,,,,Grain Shifter,,,,,,,
KORG,KP3+,,Grn.3,Mid Grain Shifter,,,,,,Grain Shifter,,,,,,,
KORG,KP3+,,Grn.4,Mid Grain Shifter+,,,,,,Grain Shifter,,,,,,,
KORG,KP3+,,Grn.5,Grain&HPF,,,,,,Grain Shifter,,,,,,,
KORG,KP3+,,Grn.6,Stutter Grain,,,,,,Grain Shifter,,,,,,,
KORG,KP3+,,LoP.1,Looper Forward/Reverse,,,,,,Looper,,,,,,,
KORG,KP3+,,LoP.2,Break Looper,,,,,,Looper,,,,,,,
KORG,KP3+,,LoP.3,Looper & Reverse Delay,,,,,,Looper,,,,,,,
KORG,KP3+,,LoP.4,Freeze Looper,,,,,,Looper,,,,,,,
KORG,KP3+,,LoP.5,High Looper,,,,,,Looper,,,,,,,
KORG,KP3+,,LoP.6,Shuttle Looper,,,,,,Looper,,,,,,,
KORG,KP3+,,LoP.7,Slice Looper,,,,,,Looper,,,,,,,
KORG,KP3+,,LoP.8,Loop Breaker,,,,,,Looper,,,,,,,
KORG,KP3+,,LoP.9,KP2 Looper,,,,,,Looper,,,,,,,
KORG,KP3+,,LP.10,Vinyl Looper,,,,,,Looper,,,,,,,
KORG,KP3+,,LP.11,Rewind Spin Looper,,,,,,Looper,,,,,,,
KORG,KP3+,,LP.12,Looper & LPF,,,,,,Looper,,,,,,,
KORG,KP3+,,LP.13,Looper & HPF,,,,,,Looper,,,,,,,
KORG,KP3+,,LP.14,Looper & Flanger,,,,,,Looper,,,,,,,
KORG,KP3+,,LP.15,Looper & Pitch Shifter,,,,,,Looper,,,,,,,
KORG,KP3+,,LP.16,Looper & Decimator,,,,,,Looper,,,,,,,
KORG,KP3+,,LP.17,Looper Isolator & HPF,,,,,,Looper,,,,,,,
KORG,KP3+,,LP.18,Looper & Isolator+,,,,,,Looper,,,,,,,
KORG,KP3+,,LP.19,Looper & OSC,,,,,,Looper,,,,,,,
KORG,KP3+,,LP.20,Looper & Noise,,,,,,Looper,,,,,,,
KORG,KP3+,,SMP.1,Sample End Point,,,,,,Sampler,,,,,,,
KORG,KP3+,,SMP.2,Sample Roll,,,,,,Sampler,,,,,,,
KORG,KP3+,,SMP.3,Sample Forward/Reverse,,,,,,Sampler,,,,,,,
KORG,KP3+,,SMP.4,Sample Fast Forward/Reverse,,,,,,Sampler,,,,,,,
KORG,KP3+,,SMP.5,Sample Forward/Reverse & Delay,,,,,,Sampler,,,,,,,
KORG,KP3+,,SMP.6,Sample Time Stretch,,,,,,Sampler,,,,,,,
KORG,KP3+,,SMP.7,Sample Grain,,,,,,Sampler,,,,,,,
KORG,KP3+,,CrS.1,4 sample bank Cross Fader Roll,,,,,,CrossFade,,,,,,,
KORG,KP3+,,CrS.2,4 sample bank Cross Fader Time Stretch,,,,,,CrossFade,,,,,,,
KORG,KP3+,,CrS.3,4 sample bank Cross Fader & LPF,,,,,,CrossFade,,,,,,,
KORG,KP3+,,CrS.4,4 sample bank Cross Fader & HPF,,,,,,CrossFade,,,,,,,
KORG,KP3+,,drM.1,House Beat,,,,,,Drum,,,,,,,
KORG,KP3+,,drM.2,Beat Box,,,,,,Drum,,,,,,,
KORG,KP3+,,drM.3,Tribal Beat,,,,,,Drum,,,,,,,
KORG,KP3+,,drM.4,Electro Beat,,,,,,Drum,,,,,,,
KORG,KP3+,,drM.5,Pad Drum 1,,,,,,Drum,,,,,,,
KORG,KP3+,,drM.6,Pad Drum 2,,,,,,Drum,,,,,,,
KORG,KP3+,,Syn.1,Unison Saw Bass,,,,,,Synth,,,,,,,
KORG,KP3+,,Syn.2,Unison Square Bass,,,,,,Synth,,,,,,,
KORG,KP3+,,Syn.3,Pump Noise,,,,,,Synth,,,,,,,
KORG,KP3+,,Syn.4,LoFi Synth,,,,,,Synth,,,,,,,
KORG,KP3+,,Syn.5,Metalic Synth,,,,,,Synth,,,,,,,
KORG,KP3+,,Syn.6,Siren,,,,,,Synth,,,,,,,
KORG,KP3+,,Syn.7,LFO Sin,,,,,,Synth,,,,,,,
KORG,KP3+,,Syn.8,LFO Squ,,,,,,Synth,,,,,,,
KORG,KP3+,,Syn.9,Resonator,,,,,,Synth,,,,,,,
KORG,KP3+,,SY.10,Synth & Looper,,,,,,Synth,,,,,,,
KORG,KP3+,,Voc.1,Vocoder,,,,,,Vocoder,,,,,,,
KORG,KP3+,,Voc.2,Bass Vocoder,,,,,,Vocoder,,,,,,,
KORG,KP3+,,Voc.3,Vocoder Maj7,,,,,,Vocoder,,,,,,,
KORG,KP3+,,Voc.4,Vocoder min7,,,,,,Vocoder,,,,,,,
KORG,KP3+,,Voc.5,Vocoder Mix,,,,,,Vocoder,,,,,,,
