manufacturer,device,patchset,displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,Mode,SEQ 1,SEQ 2,SEQ 3
KORG,MS2000,Factory presets 2000,G12,Rez Lead,0,,107,,OFF,Synth Lead,,,108,Single,,,
KORG,MS2000,Factory presets 2000,G13,Soft Brass,0,,108,,OFF,Synth Brass,,,109,Single,,,
KORG,MS2000,Factory presets 2000,G14,CPU Talk,0,,109,,OFF,Sequence,,,110,Single,OSC1 Ctrl1,Resonance,OSC2 Semi
KORG,MS2000,Factory presets 2000,G15,Phunk Bass,0,,110,,OFF,Synth Bass,,,111,Single,,,
KORG,MS2000,Factory presets 2000,G16,Jet Set 2000,0,,111,,OFF,S.E.,,,112,Single,,,
KORG,MS2000,Factory presets 2000,H01,Poly400,0,,112,,OFF,Synth Hard,,,113,Single,Cutoff,None,None
KORG,MS2000,Factory presets 2000,H02,Diginator,0,,113,,OFF,S.E.,,,114,Dual,"T1| Panpot
T2| Pitch","None
Amp Level","None
None"
KORG,MS2000,Factory presets 2000,H03,Light Pad,0,,114,,OFF,Synth Pad,,,115,Single,,,
KORG,MS2000,Factory presets 2000,H04,Bass&5thLead,0,,115,,OFF,Synth Bass,,,116,Split,"T1 |
T2 |",,
KORG,MS2000,Factory presets 2000,H05,Woody's Lead,0,,116,,OFF,Synth Lead,,,117,Single,,,
KORG,MS2000,Factory presets 2000,H06,Filter Muzik,0,,117,,OFF,Sequence,,,118,Dual,"T1| Pitch
T1| Noise Level","None
Cutoff","OSC2 Semi
Pitch"
KORG,MS2000,Factory presets 2000,H07,TimeZone SFX,0,,118,,OFF,S.E.,,,119,Single,,,
KORG,MS2000,Factory presets 2000,H08,Pulse Comp,0,,119,,OFF,Keyboard,,,120,Single,,,
KORG,MS2000,Factory presets 2000,H09,Vocoder Ens,0,,120,,OFF,Vocoder,,,121,Vocoder,,,
KORG,MS2000,Factory presets 2000,H10,Vocoder Cho,0,,121,,OFF,Vocoder,,,122,Vocoder,,,
KORG,MS2000,Factory presets 2000,H11,Vocoder Wah,0,,122,,OFF,Vocoder,,,123,Vocoder,,,
KORG,MS2000,Factory presets 2000,H12,VocoderPulse,0,,123,,OFF,Vocoder,,,124,Vocoder,,,
KORG,MS2000,Factory presets 2000,H13,VoiceChanger,0,,124,,OFF,Vocoder,,,125,Vocoder,,,
KORG,MS2000,Factory presets 2000,H14,Vocodevil,0,,125,,OFF,Vocoder,,,126,Vocoder,,,
KORG,MS2000,Factory presets 2000,H15,AudioIn INIT,0,,126,,Trigger,AudioIn,,,127,Single,,,
KORG,MS2000,Factory presets 2000,H16,Init Program,0,,127,,OFF,Init Program,,,128,Single,,,
